,document,company,grade
54,CardtronicsInc_20150605_S-4_EX-3.13.txt,Cardtronics Inc,matched
55,CashAmericaInternationalInc_20131112_S-4_EX-3.9.txt,AEL Net Marketing LLC,matched
56,CashAmericaInternationalInc_20131112_S-4_EX-3.9.txt,Cash America Net Holdings LLC,matched
57,CashAmericaInternationalInc_20131112_S-4_EX-3.9.txt,Capitol Services Inc,matched
58,CashAmericaInternationalInc_20131112_S-4_EX-3.9.txt,CASH AMERICA INTERNATIONAL INC,matched
59,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,the llc,extra
60,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,`` llc,extra
61,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,california resources corp s-4 3/12/2015 oxy tidelands inc,extra
62,CaliforniaResourcesCorp_20150312_S-4_EX-3.23.txt,oxy wilmington oxy tidelands inc,extra
63,AdvancedDrainageSystemsInc_20140606_S-1A_EX-10.24.txt,mid-atlantic mid-atlantic storm water research center inc,extra
64,AmcEntertainmentInc_20140401_S-4_EX-3.15.txt,limited liability company agreement of wanda amc releasing llc,extra
